
대창, 1kg
다진마늘,1T
마늘쫑,90g
진간장,1스푼
맛술,2스푼
올리고당,1스푼
참기름,1스푼
다진마늘,반스푼
통후추,약간
물엿,1스푼
잔멸치,100g
소금,2꼬집
마요네즈,1스푼
통깨,1스푼
마늘쫑,400g
멸치,50g
마늘,50g
홍고추,2개
소금,반스푼
진간장,3스푼
올리고당,2스푼
물,3스푼
맛술,2스푼
고춧가루,1스푼
참기름,2스푼
통깨,약간
마늘종,300g
건새우,50g
생수,1/4컵(50ml)
소금,1작은 술
설탕, 1큰 술
간장, 2큰 술
식용유, 2큰 술
물엿,1큰 술 
통깨,1큰술
깻가루, 약간
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
연두부, 1모
파 흰대, ½개
홍피망, ¼4개
청피망, ¼4개
마늘, ½스푼 다진 마늘
굴 소스, 1스푼
두반장, ½스푼
설탕, 1스푼
후춧가루, 적당량
간장, ½푼
고추기름, 3바퀴
계란, 2개
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
두부,1과1/2컵(180g)
간 마늘,1/2큰술(8g)
쪽파,1큰술(5g)
대파,1큰술(10g)
간 돼지고기,1/2컵(80g)
물,1/2컵(90g)
물(전분물용),1/5컵(40g)
전분가루,1/5큰술(2g)
만능양념장,1/2컵(100g)
된장,1큰술(15g)
식용유,2큰술(15g)
참기름,1큰술(7g)
두부,1모
다진돼지고기,200g
양파,1/2개
대파,1대
당근,소량
마늘,3알
쪽파,소량
,
식용유,2T
진(양조)간장,2T
맛술(미림),2T
설탕,1T
굴소스,1T
두반장,2T
후추,소금
물전분,소량
참기름,0.5T
고추기름,0.5T
연두부,1개
다진고기,80g
청홍피망,약간씩
대파,1개
다진마늘,1큰술
생강,약간
고추기름,2큰술
청주,1큰술
간장,1작은술
굴소스,1큰술
설탕,약간
감자전분,1작은술
두부, 한모
전분,適量
통깨,適量
소금,適量
후추,適量
설탕, 1T
간장, 1T
고추장, 1T
케첩, 1T
매실액, 1T
올리고당, 1T
물, 600ml
* 판두부, 1모
* 쇠고기 민찌, 알려지지않음
* 대파(흰대부분), 1/2개
* 마늘, 5개
* 생강(마늘크기), 1/3개
* 고추기름, 3스푼
* 물, (두부가 잠길정도)
* 굴소스, 1/2스푼
* 설탕, 조금
* 감자전분(물전분), 2스푼
* 참기름, 1스푼
,
,
,
,
,
,
,
,
,
,
,
,
,
* 잔멸치, 100g
* 슬라이스 아몬드, 1컵
* 식용유, 2큰술(Tbsp)
* 맛술, 3큰술(Tbsp)
* 백설탕, 3큰술(Tbsp)
* 진/양조간장, 1작은술(tsp)
* 식용유, 1큰술(Tbsp)
* 올리고당, 1큰술(Tbsp)
* 통깨, 1큰술(Tbsp)
볶음용멸치,80g
아몬드,200ml
편마늘,10개
다진고추,1/2개
참기름,1
맛술,1
진간장,1
물엿,4
고춧가루,1/2
설탕,2
꿀,1숟갈
잔멸치,2컵 120g
,
양조간장,1큰술
맛술,1큰술
올리고당,1½큰술
다진마늘,½큰술
식용유,1큰술
통깨,1큰술
잔멸치, 3컵반(180g)
꽈리고추, 7개
식용유, 3큰술
진간장, 2큰술
맛술(미림), 2큰술
마늘, 1큰술
,
마요네즈, 듬뿍1큰술
들기름, 1큰술
통깨, 듬뿍
마늘종,600g
잔멸치,100g
진간장,1T
참치액,0.5T
미림,2T(멸치볶음용 추가 포함)
올리고당,2T
식용유,3T
다진마늘,1T
마늘쫑,400g
멸치,50g
마늘,50g
홍고추,2개
소금,반스푼
진간장,3스푼
올리고당,2스푼
물,3스푼
맛술,2스푼
고춧가루,1스푼
참기름,2스푼
통깨,약간
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
마늘쫑,90g
진간장,1스푼
맛술 ,2스푼
올리고당,1스푼
참기름,1스푼
다진마늘 ,반스푼
통후추 ,약간
물엿,1스푼
잔멸치,100g
소금 ,2꼬집
마요네즈, 1스푼
통깨,1스푼
마늘쫑,350g
멸치,80g
고추장,2스푼
고운고추가루,1스푼
진간장,2스푼
물엿,2스푼
참기름,1큰술
참깨,1스푼
멸치다시다,1/3t스푼
청양고추,1개
,
,
,
,
,
,
,
,
,
,
,
,
멸치,100g
마늘종,230g
청양고추,2개
홍고추,1개
마늘,2쪽
식용유,20mL
들기름,30mL
물엿,25mL
진간장,20mL
고춧가루,10mL
볶은 깨,없음
잔멸치, 3컵반(180g)
꽈리고추, 7개
식용유, 3큰술
,
,
진간장, 2큰술
맛술(미림), 2큰술
마늘, 1큰술
,
마요네즈, 듬뿍 1큰술
들기름, 1큰술
통깨, 듬뿍
* 잔멸치, 150g
* 마늘, 10알
* 청양고추, 3개
* 홍고추, 2개
* 들기름, 1큰술
* 식용유, 1큰술
* 맛술, 3큰술
* 설탕, 1.5큰술
* 올리고당, 1큰술
* 참기름, 1큰술
* 통깨, 1큰술
잔멸치(아주 작은 세멸)100g, 
슬라이스 마늘1/2컵, 청양고추 1개
,
,
,
잔멸치,130g
청양고추,3개
홍고추,2개
진간장,1숟갈
조청,3숟갈
마요네즈,1숟갈
참기름,2숟갈
참깨,1숟갈
,
,
새콤하게 익은 배추김치,400g
통삼겹살,300g
양파,1/2개
생수,2컵
청양고추,1개
붉은 고추,1개
깻가루,약간
통깨,약간
,
,
고춧가루,1큰술
다진 파,2큰술
다진 마늘,1큰술
맛술,2큰술
설탕,1큰술
,
,
들기름,2큰술
돼지고기 목살,400g
김치,400g
양파,1개
청양고추,2개
당근,1/3개
대파,한줌
고추장,2스푼(50g)
양조간장,2스푼(20g)
설탕,1스푼(13g)
다진 마늘,1스푼(25g)
맛술(미림),2스푼(20g)
굴소스,1스푼(14g)
참기름,1스푼
통깨,1스푼
식용유,1스푼
,
소금,한 꼬집
후추가루,두 꼬집
맛술(미림),2스푼
,
,
,
,
,
,
,
,
,
,
,
오겹살,500g
삼겹살,500g
김치,1/4쪽
김치,@
대파,1대
양파,1개
당근,1/4개
새송이버섯,2개
키위,1개
식용유,3큰술
소주,5큰술
물엿,
참기름,
후추,
고춧가루,
,
양념장: 고추장,2큰술
양념장: 고춧가루,1큰술
양념장: 맛술,2큰술
양념장: 물엿,1큰술
양념장: 다진마늘,1큰술
양념장: 참기름,1작은술
양념장: 후추,
삼겹살(또는 오겹살), 500g
김치, 1/3쪽 350g
양파, 2/3개
대파, 1대
당근, 1/4개
청주(소주), 3큰술
고춧가루, 2큰술
고추장, 1.5큰술
다진마늘, 1큰술
설탕, 1큰술
맛술, 1큰술
물엿, 1큰술
액젓, 1큰술
참기름, 1.5큰술
깨소금, 1큰술
후추, 適量
묵은지, 반 포기(600g)
대멸치, 30g
새우젓, 1큰술
식용유, 2큰술
생수, 2컵
콩나물, 300g
대파, 1단
청양고추, 2개
홍고추, 1개
대패삼겹살, 800g
참기름, 2큰술
콩가루, 3큰술
통깨, 2큰술
고춧가루, 3큰술
다진 마늘, 3큰술
설탕, 3큰술
된장, 2큰술
참치액, 2큰술
묵은지, 1/3포기
통삼겹살, 1근(600g)
식용유, 1스푼
소주, 1/4컵
된장, 1/2스푼
양파, 1개
물, 1리터
다시마, 10g
멸치, 한줌
고춧가루, 수북하게 2스푼
다진마늘, 1스푼
새우젓, 1스푼
설탕, 1스푼
청양고추, 2개
대파, 1대
삼겹살(오겹살), 450g
김치, 400g
양파, 1/3개
대파, 1/2대
청양고추, 2개
고춧가루, 2.5큰술
다진마늘, 1큰술
진간장, 1큰술
청주(소주), 1큰술
올리고당, 1/2큰술
맛술, 2큰술
설탕, 1큰술
참기름, 1.5큰술
후추, 적당량
,
,
,
,
,
,
참기름 1숟가락, 깨 1숟가락 그리고 이 재료 0.5숟가락 넣어주세요
가문어,250g
양조간장(진간장),3스푼
설탕,1스푼
식용유,4스푼
맛술,3스푼
통깨,1스푼
참기름,1스푼
꿀(올리고당),1스푼
물,3스푼
문어, 250g
파프리카, 1개
샐러리, 1대 
양파, 1개
대파, 1대
마늘, 2T
청양고추, 2개
당근, 5cm
굴소스, 적정량
매실청, 적정량
고춧가루, 적정량 
고추장, 적정량 
후춧가루, 적정량 
올리고당, 적정량 
설탕, 적정량 
간장, 적정량
청주, 적정량
참기름, 적정량 
참깨, 적정량
문어, 200g
꽈리고추, 120g
간장, 2큰술
마늘, 1큰술
올리고당, 2큰술
참기름, 1큰술
통깨, 1큰술
식용유, 조금
- 염장미역줄기, 300g
- 양파, 1/4개(40g)
- 당근, 조금(20g)
- 식용유, 1큰술(Tbsp)
- 참기름, 1큰술(Tbsp)
- 다진마늘, 1큰술(Tbsp)
- 참치액, ½큰술(Tbsp)
- 맛술, 1큰술(Tbsp)
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
미역줄기, 400g
양파, 반개
홍고추, 2개
다진마늘, 1숟갈
미림, 3숟갈
어간장, 1숟갈
후추, 살짝
참기름, 2숟갈
참깨, 듬뿍
염장미역, 340g
양파, 1/2
홍초, 1/2
청양초, 2개
들기름(또는 식용유), 適量
간마늘, 1.5
맛소금,適量
설탕,0.5
ㄷㄲ가루,1
깨소금,듬뿍
염장미역,250g
양파,한줌
당근,한줌
청양고추,1개
다진마늘,1T
소주,1잔
식용유,2T
국간장,1T
꽃소금,1꼬집
들기름,1T
,
- 미역줄기,500g
- 양파,1/2
- 당근,조금(1/4)
- 청양고추,2개
- 홍고추,1개
- 마늘,6쪽
- 소주,종이컵 기준으로 2/3
- 식용유,숟가락으로 2개
- 들기름,숟가락으로 4개
- 국간장,숟가락으로 1개
,
미역줄기,1팩
양파,반개
다진마늘,1T
멸치액젓,1T
국간장,1T
참기름,-
깨,-
,
,
,
,
,
,
,
,
,
,
,
브로콜리,1송이
양파,반개
홍고추,2개
팽이버섯,1송이
소금,반숟갈
올리브유,2숟갈
참기름,1숟갈
다진마늘,1숟갈
굴소스,2숟갈
매실청,2숟갈
요리술,2숟갈
진간장,1숟갈
후추,살짝
참깨,1숟갈
새송이버섯, 300g
대파, 35g
풋고추, 2개
홍고추, 1개
진간장, 38g
다진마늘, 8g
물엿, 22g
들기름, 13g
통깨, 적당히
,
,
,
,
,
,
,
,
,
,
,
새송이버섯, 400g
대파, 1/2대
청양고추, 3개
홍고추, 1개
식용유, 2큰술
참기름, 1큰술
통깨, 적당량
,
,
진간장, 2큰술
조청(물엿), 2큰술
멸치/까나리 액젓, 1/2큰술
마늘청(또는 다진마늘), 1큰술
후추, 약간
* 새송이버섯, 4개
* 청양고추, 작은것 3개
* 홍고추, 작은것 3개
* 통마늘, 15개
,
* 진간장, 4큰술
* 식용유, 1큰술
* 들기름, 2큰술
* 조청, 4큰술
* 마늘, 반큰술
* 맛술, 3큰술
* 전분푼물, 2큰술
* 후추, 약간
* 통깨, 약간
새송이버섯, 300g
청양고추, 2개
대파, 1/2대
간장, 2큰술
굴소스, 1/2큰술
올리고당, 1큰술
다진 마늘, 1큰술
참기름, 1큰술
통깨, 약간
후추, 약간
,
,
,
,
,
,
,
느타리버섯(참타리버섯), 250 g
깻잎, 10장
국간장, 1 큰술
들깨가루, 5 큰술
식용유, 2 큰술
,
마요네즈, 2 큰술
건새우, 130g
마늘, 3개 (17g)
청양고추, 2개
홍고추, 1개
고추장, 3스푼 (100g)
양조간장, 2스푼 (20g)
올리고당, 2스푼 (28g)
소주, 3스푼 (24g)
통깨, 1/2스푼 (3g)
참기름, 1스푼 (7g)
포도씨유, 2스푼 (21g)
- 마른 새우, 100g
- 맛술, 3스푼
- 통깨, 1스푼
- 참기름, 1스푼
- 설탕, 1스푼
- 간장, 2스푼
- 식용유, 3스푼
- 물엿, 2스푼
세멸치,100g
,
깐마늘,5톨
청양고추,1개
홍고추,1개
맛술(미림),3스푼(30g)
양조간장(또는 진간장),1스푼(10g)
설탕,1스푼(13g)
식용유,4스푼
통깨,1스푼
물엿,3스푼(39g)
,
,
,
,
,
,
,
,
,
,
밥새우, 200g
조청, 4큰술
멸치액젓, 1큰술
다진마늘, 1큰술
고춧가루, 약간(1큰술)
설탕(원당), 2큰술
참깨, 2큰술
마른새우, 50g (종이컵으로 2컵분량)
고추장, 1T 수북이
고춧가루, 1/2T
다진마늘, 1/3T
물, 5T
미림, 2T
간장, 1T
식용유, 1T 반
올리고당, 1T~1T 반
,
,
양파, 1/2개
당근, 1/4개 (선택)
소세지, 20~30개
마늘, 10개 (다진마늘은 1/2스푼)
진간장, 2/3스푼
케찹, 3스푼
설탕, 1/2스푼
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
소세지, 두줌
파프리카, 適量
양파, 適量
케첩, 2
굴소스, 1
고추장, 1
다진마늘, 반스푼
설탕, 반스푼
소세지,300g
양파,1/2개
피망,1/2개
파프리카,1개
통마늘,8알
양조간장,1.5큰술
케첩,2.5큰술
고추장,1.5큰술
물엿,2.5큰술
물,2큰술
소시지, 300G
양파, 반개
파프리카, 반개
당근, 반개
고추장, 1스푼
올리고당, 2스푼
다진마늘, 1스푼
케찹, 5스푼
소세지,250g
피망,1개
양파,1/2개
당근,1/2개
올리브유,3큰술
진간장,1
설탕,0.5
간마늘,0.5
케첩,6
참기름,0.5
올리고당,1
소금,1꼬집
통깨,1
양파,150g
대파,30g
식용유,60g
간 마늘,28g
다진소고기,50g
진간장,15g
황설탕,35g
고추장,234g
라면사리,1개
볶음고추장,50g
간깨,3g
식초,8g
- 고추장, 300g
- 소고기(척아이롤 또는 앞다리살), 150g
- 양파, 40~50g
- 깨, 1T
- 물엿, 1T
- 양조간장, 1/3T
- 설탕, 1/4T
- 맛술, 1/2T
- 청주, 1T
- 참기름, 1/2T
- 후추, 조금
- 마늘, 4알(20g)
,
,
고추장, 2컵
물엿, 4큰술
다진 마늘, 2큰술
생강즙, 1작은술
참기름, 2큰술
꿀, 2큰술
잣, 1/3컵
진간장, 1큰술
맛술, 3큰술
설탕, 1큰술
,
,
참치 통조림, 400g
다진 양파, 1컵
다진 마늘, 2큰술
고추장, 2컵
물엿, 2큰술
통깨, 1큰술
올리고당, 1큰술
,
,
,
,
,
,
,
,
,
,
,
,
,
,
고추장,300ml
소고기,200g
양파,반개(100g)
대파,반대(35g)
진간장,1큰술
마늘,1큰술
후추,약간
들기름,1큰술
맛술(미림),50ml
청주(정종),50ml
,
고추장, 400g
소고기 다짐육, 200g
양파, 1/2쪽
,
진간장, 1스푼
다진마늘, 1스푼
맛술, 2스푼
후추, 약간
생강청, 1/2 작은술
조청, 1스푼
꿀, 1스푼
통깨, 1스푼
잣(선택), 적당량
,
소고기 다짐육,400g
고추장,600g
대파,50g
양파,100g
청양고추,6개
표고버섯,70g
식용유,1스푼
다진마늘,2스푼
맛술,2스푼
매실액,1스푼
멸치액젓,1스푼
진간장,1스푼
다진생강,⅓스푼
쌀 조청,2~3스푼
후추,약간
들기름,3스푼
통깨,2스푼
* 소고기 갈비살, 250g
* 새송이버섯, 3개
* 대파, 1/2대
* 청양고추, 1개
* 양파, 1/2개
* 식용유, 1스푼
,
,
* 진간장, 2스푼
* 굴소스, 1스푼
* 다진마늘, 1스푼
* 조청쌀엿, 수북하게 1스푼
* 소금, 3꼬집
* 연겨자, 2cm
* 후추, 2꼬집
* 통깨, 1스푼
느타리버섯,200g
양파,1개
홍고추,1개
대파,반뿌리
다진마늘,1/3큰술
소금,1꼬집
식용유,3큰술
굴소스,1큰술
진간장,1큰술
후추가루,톡톡
물엿,1/2큰술
표고버섯,380g
꽈리고추,100g
대파,1/3대
양파,1/2개
홍고추,1개
다진마늘,1큰술
참기름,1큰술
통깨,1.5큰술
진간장,3.5큰술
액젓,2/3큰술
설탕,1/2큰술
조청(물엿),2큰술
후추,약간
소고기, 150g
양파, 30g
청고추, 2개
홍고추, 1개
부추, 10g
느타리버섯, 300g
생강즙(희석한 것), 1/2티스푼
진간장, 3큰술
간마늘, 1큰술
통후추, 적당량
참기름, 2큰술
설탕, 1티스푼
맛술, 2큰술
조청, 1큰술
천일염, 1티스푼
,
소불고기(300g),
대파 2개,
올리브유,
,
,
,
후추,
소금(1/2작은술),
,
청주(1/2큰술),
,
소고기 갈비살,250g
새송이버섯,3개
대파,1/2대
청양고추,1개
양파,1/2개
식용유,1스푼
,
,
진간장,2스푼
굴소스,1스푼
다진마늘,1스푼
조청쌀엿,수북하게 1스푼
소금,3꼬집
연겨자,2cm
후추,2꼬집
통깨,1스푼
,
재료명1,첨가량1
쇠고기 안심,200g
우동면,500g
녹색 피망,50g
빨간 피망,20g
노란 피망,20g
자색 양파,20g
뜨거운 물,50ml
달걀 흰자,1개
옥수수 전분,1테이블스푼
올리브 오일,7테이블스푼
간장,2큰술
진간장,3테이블스푼
바다 소금,적당히
후추,적당히
